"If you are willing to buy this book for church, please write your name in Column A and drop it off at Room#215 on Sundays",,,,,,,,,,,
,,,,,,,,,,,
Donated By,#,Book Title,Denomination. ,Category by Age,Publisher,New/Used,Unit Price,Qty,Price,Link to Purchase,
,72,"Good Night, God Bless
by Susan Heyboer O'keefe",Catholic compatible,2-5,Henry Holt and Co. (BYR),used,5,1,5,https://www.worldofbooks.com/products/good-night-god-bless-book-susan-heyboer-o-keefe-9780805060089?sku=CIN0805060081G&gad_source=1&gad_campaignid=22584138175&gbraid=0AAAAAC04ib35_YOvqNPknU7gmlnWuCIzs&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBveTzV9EO0Xs7KxSwi6C9Nv4CfFXLHzdEBahkGl5sm8rwkrBqGiy3AaAp6DEALw_wcB,
,73,Jesus Loves Me (board book),General Christian,1-4,WorthyKids,used,4,1,4,https://www.worldofbooks.com/products/jesus-loves-me-book-laura-logan-9780824918392?sku=CIN0824918398A&gad_source=1&gad_campaignid=21961281823&gbraid=0AAAAAC04ib25-V_FIHWWKCid8_uBENQNk&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBsR6aJDz9l335epkv7tpbQ6IwKQH8cWR6eEEHeed0XmIluxlBchrJAaAn95EALw_wcB,
,74,My Catholic ABC's,Catholic,2-4,OSV kids (Catholic),used,9,1,9,https://www.abebooks.com/servlet/BookDetailsPL?bi=32438327799&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9781639662418USED-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6guQX5ITwBqSrgohGOC33bcKV&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBuhpaI76_LlRnqnXK_diPJe-yITlJU2ZpW--KWZ3ClPhXTwBNcN6JQaAms0EALw_wcB,
,75,The Christmas Miracle of Jonathan Toomey,Catholic compatible,6-9,Candlewick Press,used,5,1,5,https://www.worldofbooks.com/products/christmas-miracle-of-jonathan-toomey-with-cd-book-susan-wojciechowski-9780763636296?sku=CIN0763636290G&gad_source=1&gad_campaignid=22584138175&gbraid=0AAAAAC04ib35_YOvqNPknU7gmlnWuCIzs&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvNCXL-_BbeP19HiNefB8Tu7vL-lZWZkHiAzqiWDepn5Wuck90cnDAaAkavEALw_wcB,
,76,God Gave Us You,Catholic compatible,0-3,WaterBrook Children's,used,4,1,4,https://www.worldofbooks.com/products/god-gave-us-you-book-lisa-tawn-bergren-9780307729910?sku=CIN0307729915VG&gad_source=1&gad_campaignid=21950873028&gbraid=0AAAAAC04ib3KTDwZhPju2UwRxe57TpO0T&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBs56cbEEFN5NMIPHF84yA6k6dsp7YayWs6eX7NdI4ZHahZnurDrKbgaApdzEALw_wcB,
,77,The Very First Christmas (picture book),Catholic compatible,5-10,Concordia Publishing House,used,4,1,4,https://www.worldofbooks.com/products/very-first-christmas-book-paul-l-maier-phd-9780758606167?sku=CIN0758606168G&gad_source=1&gad_campaignid=21957241094&gbraid=0AAAAAC04ib3IUdgXrI9JOYPMzEAjEcJ03&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBsecWhTdP837yKD2n1MgEFxvCcZMZxq1poKVpM9TuJ9DRpZfpKQx1waAsH3EALw_wcB,
,78,The Easter Story for Children,Catholic compatible,4-8,Zonderkidz,used,4,1,4,https://www.worldofbooks.com/products/easter-story-for-children-book-max-lucado-9780310735946?sku=CIN0310735947G&gad_source=1&gad_campaignid=21957193565&gbraid=0AAAAAC04ib2bd3rmGicr7wR7EoOUoVRgJ&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBtuuPAy2Fho8MheCQXdN0in0-o7eeaXCZCEcrKKLYSTSuNwlB4VkhIaAkBCEALw_wcB,
,79,My First Holy Communion Book,Catholic,6-9,Magnificat & Ignatius Press (Catholic),used,4,1,4,https://www.worldofbooks.com/products/my-first-holy-communion-book-deirdre-mary-ascough-9781586177089?sku=CIN1586177087G&gad_source=1&gad_campaignid=21956371336&gbraid=0AAAAAC04ib0-WOgmU053tEKXU1sVVHQmU&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBsH5Mq1OstUd8mEik72FwJuwbhxn_wHKkH_CJOwK-FVl7CWY_F_negaApO9EALw_wcB,
,80,Saint Joseph by Maria Riley,Catholic,6-10,Rooted River Press(Catholic),used ,4,1,4,https://www.worldofbooks.com/products/saint-joseph-book-maria-riley-9781959607007?sku=CIN1959607006G&gad_source=1&gad_campaignid=21957241094&gbraid=0AAAAAC04ib3IUdgXrI9JOYPMzEAjEcJ03&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvoUrlVITjA659Y0olrE58ozqmX_PwSCMJqeg780JIoPqw7Uv0kgzYaApO5EALw_wcB,
,81,Ishmael: The Shepherd Boy of Bethlehem,Catholic,6-10,Magnificat & Ignatius Press (Catholic),used,7,1,7,https://www.thriftbooks.com/w/ishmael-the-shepherd-boy-of-bethlehem/9284571/item/43092150/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_zombies_hvml_22797775610&utm_adgroup=&utm_term=&utm_content=764091475358&gad_source=1&gad_campaignid=22797775610&gbraid=0AAAAADwY45gHjhRLvi52n1cjYjOB9erzl&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvVWb3jyLLAOLWmL4TXyKdO70AS7lP5aq5oZ8w_v5Q33N1E6Aw4nOEaAqICEALw_wcB#idiq=43092150&edition=45133953,
,82,My ABC of God Loves Meby Tommy Nelson,Catholic compatible,1-4,Tommy Nelson,used,5,1,5,https://www.worldofbooks.com/products/my-abc-of-god-loves-me-book-tommy-nelson-9781400322756?sku=CIN1400322758A&gad_source=1&gad_campaignid=21961281823&gbraid=0AAAAAC04ib25-V_FIHWWKCid8_uBENQNk&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBtffK2r05ksYVANui5hm5li5djfBN3YvgvX_we9RUKUrVQfxLa79jsaAlAdEALw_wcB,
,83,Light of the Sacraments,Catholic,4-12,Word on Fire Votive (Catholic),used,12,1,12,https://www.abebooks.com/servlet/BookDetailsPL?bi=32218792705&dest=USA&ref_=ps_ggl_17730880232&cm_mmc=ggl-_-US_Shopp_Trade_10to20-_-product_id=US9781685781194USED-_-keyword=&gad_source=1&gad_campaignid=17190383924&gbraid=0AAAAAD3Y6gt0gdw-MQ2mMt1n9J1OoZ3vw&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBs35uFLEzHpU8jywdecgMwJSAtiu04ycUpfrJmec14TzcwE29HuHlUaAlE0EALw_wcB,
,84,"Light of the Saints
by Cory Heimann",Catholic,4-12,Word on Fire Votive (Catholic),used,6,1,6,https://www.worldofbooks.com/products/light-of-the-saints-book-cory-heimann-9781685780296?sku=CIN1685780296G&gad_source=1&gad_campaignid=21961281823&gbraid=0AAAAAC04ib25-V_FIHWWKCid8_uBENQNk&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBuVhZHRcU2axI6hb2smfDeq3F7TEFWDJX_FQWfjkgzzOiKCBqno5yQaAltFEALw_wcB,
,85,"My Baptism Book
By: Sophie Piper",Catholic compatible,0-3,Paraclete Press,used,7,1,7,https://www.christianbook.com/my-baptism-book-sophie-piper/9781640607613/pd/607617?en=google&event=SHOP&kw=books-0-20%7C607617&p=1179710&utm_source=google&p=1234083&dv=c&cb_src=google&cb_typ=shopping&cb_cmp=20379181146&cb_adg=157175267691&cb_kyw=&utm_medium=shopping&gad_source=4&gad_campaignid=20379181146&gbraid=0AAAAAD_dTHZw8Yh3gGShq1rfGdsfpD4n3&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBsqxHH8dUtSnrfT3PP5FopIJlfw6FW1_bpJNVQMAbAgKIaqm1Ib32EaAjnMEALw_wcB,
,86,A Child's Garden of Prayers,Lutheran heavy. Has no anti-catholic language but contains German Protestant heritage like Martin Luther's MorNing and eveniNg blessings.,4-8,Concordia Publishing House,used,7,1,7,https://www.thriftbooks.com/w/a-childs-garden-of-prayer-a-classic-collection_concordia-publishing-house_marilynn-barr/1385134/item/174784/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_zombies_lvbl_22798529178&utm_adgroup=&utm_term=&utm_content=764389928151&gad_source=1&gad_campaignid=22798529178&gbraid=0AAAAADwY45j8S2nGDMbtU97gvbel_zZAn&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBsCpMWeL-BO7N3aEi1MPKO-Q96ung0Q9nHDeRXyDVlA6-82WDCodDsaAlHMEALw_wcB#idiq=174784&edition=4508153,
,87,Jesus and the Children (picture book),Protestant but its Catholic Compatible. No protestant teachings,3-6,Rand McNally & Company,used,8,1,8,https://www.thriftbooks.com/w/jesus-and-the-children_mary-alice-jones/54625566/item/87816322/?utm_source=google&utm_medium=cpc&utm_campaign=shopping_everything_else_customer_acquisition_16970393167&utm_adgroup=&utm_term=&utm_content=593719077582&gad_source=1&gad_campaignid=16970393167&gbraid=0AAAAADwY45htqSaYVLdkRFeDGoClMsqHp&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvHUj2gzyaBY4DKk5_T14UMisgmVpb1qiXIkOOfkmECoYCQ3PbdjzIaAszLEALw_wcB#idiq=87816322&edition=57771336,
,88,Little Visits with God,Lutheran. Catholic compatible. No protestant teachings,7-10 but parents can read it out for kids 4-5,Concordia Publishing House,used,7,1,7,https://www.betterworldbooks.com/product/detail/little-visits-with-god-9780570030164?shipto=US&curcode=USD&utm_source=google&utm_medium=cpc&utm_campaign=Shopping-Used-Strong&utm_content=194484262799&utm_term=&creative=804640276775&device=c&placement=&gad_source=1&gad_campaignid=23739868778&gbraid=0AAAAADMQnG9WwdKQ6xlKRLsHUmKefXCuT&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBsDI5Yth8rYfmjIiAo7zqLfWQaBBFozTr6_7lAil5vmfdMl6GYdKgUaAg97EALw_wcB,
,89,"Song of the Seasons: Discovering God's Handiwork in Spring, Summer, Fall, and Winter",Catholic compatible,3-8,Paraclete Press,used,10,1,10,https://www.thriftbooks.com/w/song-of-the-seasons_glenys-nellist/39682455/item/88030525/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_zombies_hvs_21811042479&utm_adgroup=&utm_term=&utm_content=717415192734&gad_source=4&gad_campaignid=21811042479&gbraid=0AAAAADwY45gcKBl673xFQfjfYaUCT8Igu&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvBf5pTk2QIC9jHsjWFLVYYB2bgCTs6t_2DWvB5Z80DTiB072lbGngaAoLpEALw_wcB#idiq=88030525&edition=68011990,
,90,A Baby Born in Bethlehem,Catholic compatible,5-9,Albert Whitman & Company,used,9,1,9,https://www.worldofbooks.com/products/baby-born-in-bethlehem-book-martha-w-hickman-9780807555231?sku=CIN0807555231G&gad_source=1&gad_campaignid=21951251496&gbraid=0AAAAAC04ib2fyB6BkzO15wf7hu4LPROW9&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvECt5Vk3RUwvOe4tvpGt8Z-E_CruiA7WFSd19xkc_a7Dy3m5qKuG4aAl7vEALw_wcB,
,91,My First Stations of the Cross,Catholic,4-12,Catholic Family Crate.,used,17,2,34,https://catholicfamilycrate.com/products/stations-of-the-cross-book?variant=46572214911154&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=paid-search&utm_campaign=21013162031&utm_adgroup=&utm_content=&utm_term=&gad_source=4&gad_campaignid=21013163642&gbraid=0AAAAApnfZkpklO5_o79ECWH8YBBG4KGPN&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvvd-cvcrLsm39xIzxBgB8AdjD0urdanTysT3imYAQVTRdpQv5uLpgaAvceEALw_wcB,
,92,A Child's First Prayerbook (Fr. Lovasik),Catholic,4-8,Catholic Book Publishing Corp.,new,3,1,3,https://www.catholicfreeshipping.com/st-joseph-picture-book-series-my-first-prayer-book-by-father-lovasik-288/,
,93,A Boy and His Angel ,Catholic,4-6,Cruachan Hill Press (Catholic),new,10,1,10,https://www.cruachanhill.com/products/a-boy-and-his-angel,
,94,The Story of Pentecost for Children,Lutheran. No anti-catholic theology. Catholic compatible.,5-8,Concordia Publishing House,new,4,1,4,https://www.worldofbooks.com/products/pentecost-story-arch-books-book-elizabeth-jaeger-9780758646040?sku=CIN0758646046G&gad_source=4&gad_campaignid=21961281823&gbraid=0AAAAAC04ib0Rp9VAgDsnR1m9cyOV0Zlhh&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBs2pcEHbzBrc5jwiqwSjSucIGRb6raMVNC6T5XGDUZ9WHBbW_jRh70aAik-EALw_wcB,
,95,Child's Guide to the Beatitudes Hardcover Kathy Della Torre O'Kee,Catholic,5-10,Paulist Press (Catholic),new,8,1,8,https://www.ebay.com/itm/146517630764?chn=ps&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&mkscid=101&itemid=146517630764&targetid=2450249296795&device=c&mktype=pla&googleloc=9032154&poi=&campaignid=21214315381&mkgroupid=188184246123&rlsatarget=pla-2450249296795&abcId=9407526&merchantid=114696527&gad_source=4&gad_campaignid=21214315381&gbraid=0AAAAAD_QDh_gRqTcARl28_cK7gECutMI0&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBs6C_1mS2TZYAW_sR6yrYdfsCdW0BJZ-e9FJ1Vw0pcl5GOjtG-Hs00aAu_vEALw_wcB,
,96,The Miracle Man: The Life of Jesus,General Christian,6-10,Abrams Books for Young Readers.,used,9,1,9,https://www.betterworldbooks.com/product/detail/miracle-man-the-story-of-jesus-9781419718991?shipto=US&curcode=USD&utm_source=google&utm_medium=cpc&utm_campaign=Shopping-Used-Strong&utm_content=194484262799&utm_term=&creative=804640276775&device=c&placement=&gad_source=1&gad_campaignid=23739868778&gbraid=0AAAAADMQnG9WwdKQ6xlKRLsHUmKefXCuT&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBttB0yhhEBO2_7zhiDdyPfNdYGlDEbjD7QfXlG1JN3viToNgn1AXpsaAmC4EALw_wcB,
,97,The Lord's Prayer Illustrated for Children,Evangelical. Catholic compatible. No conflicting teachings,0-4,Zonderkidz,used,6,1,6,https://www.thriftbooks.com/w/the-lords-prayer/461116/item/4829470/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_zombies_hvml_22797775610&utm_adgroup=&utm_term=&utm_content=764091475358&gad_source=1&gad_campaignid=22797775610&gbraid=0AAAAADwY45gHjhRLvi52n1cjYjOB9erzl&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBtfAlgu4vSOV6UgB8vbGZ1-3_UBfkYBfeY7v79vluCfquBke0ZYdLUaAqQdEALw_wcB#idiq=4829470&edition=5719717,
,98,Hail Mary for Little Ones,Catholic,3-5,Magnificat & Ignatius Press (Catholic),used,7,1,7,https://www.christianbook.com/hail-mary-maite-roche/9781621641247/pd/641247?en=google&event=SHOP&kw=ingram-0-20%7C641247&p=1179710&utm_source=google&p=1234083&dv=c&cb_src=google&cb_typ=shopping&cb_cmp=20379181146&cb_adg=157175267691&cb_kyw=&utm_medium=shopping&gad_source=1&gad_campaignid=20379181146&gbraid=0AAAAAD_dTHbS0IpvPMTUel7znaSHdufl6&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvnwlhypSRKZvpAhv8S29wfHLbiGpBhBUAEHjvKLgS9Rfi4Tau0E9caAphjEALw_wcB,
,99,Through the Year with Tomie dePaola,Catholic,3-11,Magnificat & Ignatius Press (Catholic),used,13,1,13,https://www.thriftbooks.com/w/through-the-year-with-tomie-depaola_catherine-harmon_john-herreid/39565281/item/89664456/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_childrens_22852179116&utm_adgroup=&utm_term=&utm_content=766933689252&gad_source=1&gad_campaignid=22852179116&gbraid=0AAAAADwY45i_O6KItt6M8cnOvXYAJlmHP&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBv3Te9aXgsJYkHNwPi-yyUwIg6T5tRjIiReIgDLz0gGWieeT4BZnz0aAvfKEALw_wcB#idiq=89664456&edition=67860002,
,100,North Star: St. Herman of Alaska,Catholic compatible. Minor theological nuance- Post-Schism Saint. Official Orthodox saint though he lived life without preaching anti-catholic rhetoric.,9-12,St. Vladimir's Seminary Press (Eastern Orthodox),used,7,1,7,https://www.abebooks.com/servlet/BookDetailsPL?bi=32419510700&dest=USA,
,102,Saint Valentine's Day: A Story of Love,Catholic,0-10,Herald Entertainment ,used,8,1,8,https://www.christianbook.com/the-story-of-saint-valentine/9781947774773/pd/7774773?en=google&event=SHOP&kw=ingram-0-20%7C7774773&p=1179710&utm_source=google&p=1234083&dv=c&cb_src=google&cb_typ=shopping&cb_cmp=20379181146&cb_adg=157175267691&cb_kyw=&utm_medium=shopping&gad_source=1&gad_campaignid=20379181146&gbraid=0AAAAAD_dTHbS0IpvPMTUel7znaSHdufl6&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBuKXt8B5z0zWPdGf-Srn8f7BL3GvMiMYXHbS4xABFjCtTRsfRXGqEMaAqpkEALw_wcB,
,103,The New Catholic Illustrated Bible,Catholic,4-8,Saint Benedict Press (Catholic),used,4,1,4,https://www.aspenbookco.com/products/the-new-catholic-illustrated-bible?variant=52651070914847&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=4&gad_campaignid=24049372540&gbraid=0AAAAA-6Iz2bzGxhtp0gI87vu0COElqSBJ&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBuUlWtEvvINa9QZsUzrD-Q8Lwv3ffoqKbfF--3zEv8skLgXouByZXAaAir_EALw_wcB,
,104,The Four Gospels for Young Catholics,Catholic,9-12 & Young Teens,Pauline Books & Media (Catholic),new,25,1,25,https://www.target.com/p/the-four-gospels-for-young-catholics-by-ciucci-m-fossati-g-perego-p-sartor-hardcover/-/A-94139412#lnk=sametab,
,105,Catholic Bible Chronicles: 70 Bible Stories,Catholic,8-12,Ascension Press (Catholic),new,23,1,23,https://www.thriftbooks.com/w/great-adventure-kids-catholic-bible-chronicles-ages-8-12_amy-welborn/28661648/item/56233649/?utm_source=google&utm_medium=cpc&utm_campaign=pmax_high_vol_scarce_%2410_%2450_17400876848&utm_adgroup=&utm_term=&utm_content=&gad_source=1&gad_campaignid=17400878123&gbraid=0AAAAADwY45hE1Co1HLwnEHtFy986Z7LJL&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBtIMp8EA6fnteNQOANQ8-PpGgoLki3pHBXvpP2G7QYTdyyCDOUKu-oaAiq8EALw_wcB#idiq=56233649&edition=59626507,
,106,The Gospels for Young Catholics,Catholic,7-13,Pflaum Publishing Group (Catholic),used,9,1,9,https://www.thriftbooks.com/w/the-gospels-for-young-catholics/33826672/item/54921232/?utm_source=google&utm_medium=cpc&utm_campaign=LCE_low_vol_f%2fm%2fs_standard_shopping_customer_aquisition_22591097975&utm_adgroup=&utm_term=&utm_content=754049995136&gad_source=1&gad_campaignid=22591097975&gbraid=0AAAAADwY45iL8GXdSYepWlZpeVCPIR5vR&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvFafinh_YhPWRNPFeO3wW3j-Y_DHoyllFVPRCm3_UjR1pC8Uhz9hYaAvtvEALw_wcB#idiq=54921232&edition=61228579,
,107,GPS: God's Plan in Scripture (The storybook from the program),Storybook is part of a Catholic Program,5-12,Ascension Press (Catholic),used,$13.00,1,$13.00,https://www.worldofbooks.com/products/gps-god-s-plan-in-scripture-storybook-book-cavins-emily-bromschwig-lisa-n-9781950784493?sku=CIN1950784495VG&gad_source=1&gad_campaignid=21950873028&gbraid=0AAAAAC04ib0tow0_jGmuJjUQtKxABxCXv&gclid=CjwKCAjwyabTBhBFEiwAM3mNUA2jYEg9x12J1bkgMVjjss_pV5adkq9rncb1oh6U-Folxnul7pFLiRoCPdsQAvD_BwE,
,108,Saints of the Sacred Heart (Emily Jaminet),Catholic,5-12,Sophia Institute Press (Catholic),used,13,1,13,https://www.ebay.com/itm/198308292535?chn=ps&norover=1&mkevt=1&mkrid=711-166974-028196-7&mkcid=2&mkscid=101&itemid=198308292535&targetid=2274564709393&device=c&mktype=pla&googleloc=9196138&poi=&campaignid=23163721346&mkgroupid=189822114880&rlsatarget=pla-2274564709393&abcId=10485928&merchantid=5568570426&geoid=9196138&gad_source=1&gad_campaignid=23163721346&gbraid=0AAAAAD_QDh8bE6o-TJzdrWPSv6u0Eh8uf&gclid=CjwKCAjwyabTBhBFEiwAM3mNUKcPp_rpB2bNQ277eKDQeH5PYumpqiOVjWkyk6dTR1T5iJihc2ch8xoCrKEQAvD_BwE,
,109,Seek and Find: The Lives of Saints,Catholic,5-12,Magnificat & Ignatius Press (Catholic),used,8,1,8,https://www.abebooks.com/servlet/BookDetailsPL?bi=32399387180&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9781621646051NEW-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gsdD1T-mROHTuNQ26Kpn-6Mp&gclid=CjwKCAjwyabTBhBFEiwAM3mNUBUedAB82UqAQ17EHEvsKmpZrL-Iy-ww_PXbTvX60Omh7HLIotXm0BoCtEcQAvD_BwE,
,110,Seek and Find: The Twelve Apostles,Catholic,5-12,Magnificat & Ignatius Press (Catholic),used,15,1,15,https://www.discountcatholicproducts.com/The-Twelve-Apostles-Seek-and-Find-Series-Book-4-Hardback-P19556.aspx?gad_source=1&gad_campaignid=22354893966&gbraid=0AAAAAD_cY-GVADPcXH3oAxy4eK_Wikob9&gclid=CjwKCAjwyabTBhBFEiwAM3mNUBvad9S4bym1fr85G915VBb_OIXNhU9GX67s0WyUkPX4SEUk9hNlPhoC5VQQAvD_BwE,
,111,Seek and Find: On the Way to Santiago,Catholic,5-12,Magnificat & Ignatius Press (Catholic),used,5,1,5,https://www.abebooks.com/9781621646891/Way-Santiago-Compostela-Volume-Seek-1621646890/plp,
,112,Seek and Find: Mont Saint Michel,Catholic,5-12,Magnificat & Ignatius Press (Catholic),used,15,1,15,https://ignatius.com/mont-saint-michel-6msmh/,
,113,The Adventures of Loupio Vol. 1: The Meeting,Catholic,6-12,Magnificat & Ignatius Press (Catholic),used,5,1,5,https://www.abebooks.com/servlet/BookDetailsPL?bi=32374572718&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9781586175269NEW-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gsdD1T-mROHTuNQ26Kpn-6Mp&gclid=CjwKCAjwyabTBhBFEiwAM3mNUEz-wnJcn9K9cmnWyFK0FiZtSyNoCoMuOjKgaOMPnWcfbNu2cxl-7RoCoaoQAvD_BwE,
,114,The Adventures of Loupio Vol. 2: The Tournament,Catholic,6-12,Magnificat & Ignatius Press (Catholic),used,6,1,6,https://www.abebooks.com/servlet/BookDetailsPL?bi=32473528874&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9781586176242USED-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gsdD1T-mROHTuNQ26Kpn-6Mp&gclid=CjwKCAjwyabTBhBFEiwAM3mNUGwoMsPrmt_bi872Zue-37ucmXoCsTWxuVARfo_6I-CkqCWJKMJCeBoCeYYQAvD_BwE,
,115,The Adventures of Loupio Vol. 8: Crusaders and Pilgrims,Catholic,6-12,Magnificat & Ignatius Press (Catholic),new,9,1,9,https://inhisname.com/products/the-adventures-of-loupio-volume-crusaders-pilgrims-17933?currency=USD&country=US&variant=48502002090292&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=4ea913fa7621&gad_source=1&gad_campaignid=23741723690&gbraid=0AAAAAD65W-gIrS5s0Q5PTYyKMdZyoQR-4&gclid=CjwKCAjwyabTBhBFEiwAM3mNUMaPri1G926pBFnoMF9tx9sSNhc0Wij7SKW33z1ttLJJv1XOzx_GkBoC0DQQAvD_BwE,
,116,Eucharistic Saints,Catholic,8-10,TAN Books (Catholic),new,13,1,13,https://www.thriftbooks.com/w/eucharistic-saints-twenty-stories-of-devotion-to-jesus_meredith-hinds/52139635/item/89976784/?utm_source=google&utm_medium=cpc&utm_campaign=LCE_low_vol_f%2fm%2fs_standard_shopping_customer_aquisition_22591097975&utm_adgroup=&utm_term=&utm_content=754049995133&gad_source=1&gad_campaignid=22591097975&gbraid=0AAAAADwY45gQtpI6KveFu_Q_XdCXMCQpn&gclid=CjwKCAjwyabTBhBFEiwAM3mNUO3nhFiKfbluMXXMSRuL4GZqgL5057JCP4_4gNYqx12Z_MGNKP0aNBoCYfsQAvD_BwE#idiq=89976784&edition=70830540,
,117,Stations of the Cross for Young Catholics,Catholic,8-12,Pauline Books & Media (Catholic),new,8,1,8,https://stpatricksguild.com/stations-of-the-cross-for-young-catholics/?utm_source=google&utm_medium=cpc&utm_campaign=20564096111&utm_content=&utm_term=&gad_source=1&gad_campaignid=20567682628&gbraid=0AAAAADv3GfjnpsmVAek4wVPIsJghes4R0&gclid=CjwKCAjwyabTBhBFEiwAM3mNUOd7Gz92uWE2IVPrJhi1wuSfzEog1sRSB2Bx3CU-Y0HpiBRoVBs54hoCVaAQAvD_BwE,
,118,The Boy Who Knew Carlo Acutis,Catholic,13-18,Magnificat & Ignatius Press (Catholic),used,6,1,6,https://www.worldofbooks.com/products/boy-who-knew-carlo-acutis-book-corinna-turner-9781621647171?sku=CIN162164717XG&gad_source=1&gad_campaignid=21957241094&gbraid=0AAAAAC04ib0CsLld-Z9Us_aUaB17TgP_W&gclid=CjwKCAjwyabTBhBFEiwAM3mNULJoNk5oFApOU6lvsdiiP83czedrRKAZRA9zJ5qb8f5bgNaoagq74hoCHb0QAvD_BwE&_su_rec=W6wATSil37jR5ryvNfffTJh2NnN-MC7uKLDSeA2RkOMq_KKLbvTLRgUOMvuxXGhGBGVf05Jz61dWTgecFygtvq_XJ_Dg1ky1tKs6wzjI5TTZrJ6S9lxkZBb3kMfoQZsyqnh8trh56Cyuo-3v0uZDTDocf9vzvcVb-XxN8Y2v79i8NfVX8kTfaZA5kLoucGKuf5ydKvy-sae4Ne8AsHsTAHaLfmcS3GHijK7uDQjXh72skB955fOLJvhcTKhjh4lPFeXezeRw80lZGieWF6MK-ooTw_c&_su_rec_id=ce2fa988-9d0a-47bc-8bba-f5e14aa5333c-1785348092,
,119,Saint Carlo Acutis: God's Computer Genius,Catholic,8-11,Pauline Books & Media (Catholic),used,5,1,5,https://www.worldofbooks.com/products/carlo-acutis-god-s-computer-genius-book-ellen-labrecque-9780819817006?sku=CIN0819817007A&gad_source=1&gad_campaignid=21957241094&gbraid=0AAAAAC04ib0CsLld-Z9Us_aUaB17TgP_W&gclid=CjwKCAjwyabTBhBFEiwAM3mNUHMFvH_WHuFcaWh3V_Myce0NC5hGYSiNniN5IW9ZUgTajj4GfU0R-RoCIoEQAvD_BwE,
,120,Vision Books: Saint Benedict,Catholic,9-15,Ignatius Press (Catholic),used,9,1,9,https://www.worldofbooks.com/products/saint-benedict-book-mary-fabyan-windeatt-9780898707670?sku=CIN0898707676G&gad_source=1&gad_campaignid=21961281823&gbraid=0AAAAAC04ib225gYLWzuQxR-rJhKX58xoB&gclid=CjwKCAjwyabTBhBFEiwAM3mNUFvD9Fi-gOjlghkyHha7j0eycb8zo2EoJ-EyjPHNvP8A2XjMRSbxzxoCzhkQAvD_BwE,
