"If you are willing to buy this book for church, please write your name in Column A and drop it off at Room#215 on Sundays",,,,,,,,,,,
,,,,,,,,,,,
Donated By,#,Book Title,Denomination. ,Category by Age,Publisher,New/Used,Unit Price,Qty,Price,Link to Purchase,
,16,The Tree Planted in the Sea: Journey with St. Paul,Catholic,7 & up,Magnificat & Ignatius Press (Catholic),Used,11,1,11,https://www.worldofbooks.com/products/tree-planted-in-the-sea-book-judith-bouilloc-9781621647652#10647470145809,
,17,The Illustrated Parables of Jesus (picture book),Catholic,5-9,Magnificat & Ignatius Press (Catholic),New,3,1,3,https://www.comcenter.com/product/CATH-291/?utm_campaign=shopping&utm_medium=cpc&utm_source=shopping&gad_source=4&gad_campaignid=1301575831&gbraid=0AAAAADH6J_0ERwJKqH9wYUhldAxyWCY2Q&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBuKuKqmHhZe7XGyXVFhVR2r0WaO0LBdOiRWN4svCwwLpjJO3EDvIaMaAr27EALw_wcB,
,18,"My Catholic Picture Bible Stories (Great Adventure Kids)
Jan Godfrey And Angela Jolliffe",Catholic,4-9,Ascension Press (Catholic),Used,3,1,3,https://www.abebooks.com/servlet/BookDetailsPL?bi=32282536861&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9781950784288NEW-_-keyword=&gad_source=4&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gsdO958vxqzUsyzrbHjKu6vO&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvOPQfLB-cTu9QQSyxCkVqtehlf4AQCQotJSwQiuy1Yl57wR0vg5XEaAtWeEALw_wcB,
,19,Margaret's First Holy Week: The Pope's Cat  (Jon Sweeney),Catholic,6-10,Paraclete Press,Used,5,1,5,https://www.abebooks.com/servlet/SearchResults?ds=20&kn=Margaret%27s%20First%20Holy%20Week%20%28Jon%20Sweeney%29&sts=t&ref_=ds_ac_d_40,
,20,The Story of the First Easter Bunny,Catholic,4-10,Sophia Institute Press(Catholic),Used,5,1,5,https://www.abebooks.com/servlet/SearchResults?ds=20&kn=The%20Story%20of%20the%20First%20Easter%20Bunny&sts=t&ref_=ds_ac_d_35,
,21,The Gospel of John for Little Ones,Catholic,2-6,Marian Press (Catholic),Used,18,1,18,https://www.worldofbooks.com/products/gospel-of-john-for-little-ones-book-sara-beth-meyer-9781596146556#10695898792209,
,22,The Gospel of Luke for Little Ones,Catholic,2-6,Marian Press (Catholic),Used,15,1,15,https://www.abebooks.com/servlet/SearchResults?ds=20&kn=The%20Gospel%20of%20Luke%20for%20Little%20Ones&sts=t&ref_=ds_ac_d_34,
,23,The Gospel of Matthew for Little Ones,Catholic,2-6,Marian Press (Catholic),Used,8,1,8,https://www.abebooks.com/servlet/SearchResults?ds=20&kn=The%20Gospel%20of%20Matthew%20for%20Little%20Ones&sts=t&ref_=ds_ac_d_37,
,24,The Gospel of Mark for Little Ones,Catholic,2-6,Marian Press (Catholic),Used,11,1,11,https://www.abebooks.com/servlet/SearchResults?ds=20&kn=The%20Gospel%20of%20Mark%20for%20Little%20Ones&sts=t&ref_=ds_ac_d_34,
,25,Simon of Cyrene and the Legend of the Easter Egg,Catholic,4-7,Pauline Books & Media (Catholic),Used,4,1,4,https://www.abebooks.com/servlet/SearchResults?ds=20&kn=Simon%20of%20Cyrene%20and%20the%20Legend%20of%20the%20Easter%20Egg&sts=t&ref_=ds_ac_d_48,
,26,The First Easter (Michael Adams),Catholic,5-9,Aquinas Kids (Catholic),New,18,1,18,https://www.catholicgiftsandmore.com/product/the-first-easter-aquinas-press-g1005?srsltid=AfmBOorgB2zf2Emj5Gk0POHj3zwNjRLZv3nbuBh6R0jM7NOOJOOXKTDv,
,27,The End of the Fiery Sword: Adam and Eve and Jesus and Mary,Catholic,7 & up,Emmaus Road Publishing (Catholic),Used,11,1,11,https://www.amazon.com/s?k=The+End+of+the+Fiery+Sword%3A+Adam+and+Eve+and+Jesus+and+Mary&crid=ETA9X9YRJ86X&sprefix=the+end+of+the+fiery+sword+adam+and+eve+and+jesus+and+mary%2Caps%2C225&ref=nb_sb_noss_2,
,28,Make Room: A Child's Guide to Lent and Easter,General Christian,8-12,Paraclete Press,Used,7,1,7,https://www.abebooks.com/servlet/SearchResults?ds=20&kn=Make%20Room%3A%20A%20Child%27s%20Guide%20to%20Lent%20and%20Easter&sts=t&ref_=ds_ac_d_45,
,29,The World Waits (Elizabeth Pham),Catholic,0-6,Sophia Institute Press(Catholic),Used,7,1,7,https://www.worldofbooks.com/search?q=The%20World%20Waits%20(Elizabeth%20Pham),
,30,Your Valentine (Anthony DeStefano),Catholic,4-9,Sophia Institute Press(Catholic),Used,7,1,7,https://www.abebooks.com/servlet/SearchResults?ds=20&kn=Your%20Valentine%20%28Anthony%20DeStefano%29&sts=t&ref_=ds_ac_d_34,
,31,Dearest Children (Fr. Edward Flanagan),General Christian,4-11,Boys Town Press,New,17,1,17,https://www.booksamillion.com/p/Dearest-Children/Eli-Hernandez/9781944882235,
,32,From Bread and Wine to Saints Divine,Catholic,4-12,Sophia Institute Press(Catholic),Used,9,1,9,https://www.ebay.com/itm/366558958263?chn=ps&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&mkscid=101&itemid=366558958263&targetid=2450249296795&device=c&mktype=pla&googleloc=9196138&poi=&campaignid=21214315381&mkgroupid=188184246123&rlsatarget=pla-2450249296795&abcId=9407526&merchantid=101491674&gad_source=4&gad_campaignid=21214315381&gbraid=0AAAAAD_QDh_awQkfuvvDNwBqYQ5lrDhyD&gclid=CjwKCAjwyabTBhBFEiwAM3mNUEKkQhwfGHgz2jAaQ27sWmVZ9up3HCQEFN3rMkcFnKDLGC9obCk1UxoCh2cQAvD_BwE,
,33,My First Interactive Mass Book,Catholic,3 & up,Ascension Press (Catholic),Used,13,1,13,https://www.abebooks.com/servlet/SearchResults?ds=20&kn=My%20First%20Interactive%20Mass%20Book&sts=t&ref_=ds_ac_d_30,
,34,My First Catholic Bible Stories (Bethan),Catholic,1-3,Ascension Press (Catholic),Used,6,1,6,https://www.worldofbooks.com/products/my-first-catholic-bible-stories-book-james-kllai-9781950784271#9852147761425,
,35,Catholic Picture Bible by Lawrence G Lovasik,Catholic,5-9,Catholic Book Publishing Corp.,Used,4,1,4,https://www.worldofbooks.com/products/catholic-picture-bible-book-lawrence-g-lovasik-9780899424354?sku=CIN089942435XA&gad_source=4&gad_campaignid=21950873028&gbraid=0AAAAAC04ib06STgdYeifi5nlahp0rpDSL&gclid=CjwKCAjwyabTBhBFEiwAM3mNUCpZwIXajLNlBGvodaMhUUoG62vTm6O2eCinH0w2-4jUMSu61e8XTBoCuWkQAvD_BwE,
,36,The Catholic Children's Bible,Catholic,1-4,Regina Press (Catholic),Used,5,1,5,https://www.abebooks.com/servlet/SearchResults?ds=20&kn=The%20Catholic%20Children%27s%20Bible&sts=t&ref_=ds_ac_d_29,
,37,The Holy Bible Adapted for Young Readers,Catholic,5-10,Sophia Institute Press(Catholic),Used,11,1,11,https://www.abebooks.com/servlet/SearchResults?ds=20&kn=The%20Holy%20Bible%20Adapted%20for%20Young%20Readers&sts=t&ref_=ds_ac_d_40,
,38,The Gospel Told by the Animals,Catholic,4-10,Magnificat & Ignatius Press (Catholic),Used,7,1,7,https://www.worldofbooks.com/products/gospel-told-by-the-animals-book-bndicte-delelis-9781621642480#10092106219793,
,39,Petook: The Rooster Who Met Jesus,Catholic,4-8,Ignatius Press (Catholic),New,13,1,13,https://www.amazon.com/Petook-Rooster-Who-Met-Jesus/dp/162164457X/ref=pd_sbs_d_sccl_1_1/145-2751048-5115862?pd_rd_w=nKak0&content-id=amzn1.sym.aa738fbd-ad05-4d11-aae2-04b598db6305&pf_rd_p=aa738fbd-ad05-4d11-aae2-04b598db6305&pf_rd_r=PEBP21KV38KR36RV5PG2&pd_rd_wg=7Illz&pd_rd_r=5e2c718d-a16e-4815-9cee-069cf7c52a1e&pd_rd_i=162164457X&psc=1,
,40,YOUCAT for Kids,Catholic,8-12,Ignatius Press (Catholic),Used,4,1,4,https://www.abebooks.com/YOUCAT-Kids-Foundation-Ignatius-Press/32426554170/bd,
,41,Kiddie Cat: A Child's First Catechism,Catholic,2-5,TAN Books (Catholic),Used,6,1,6,https://www.abebooks.com/Kiddie-Cat-Childs-First-Catechism-Lesson/32445307673/bd,
,42,The Catholic Bible for Children,Catholic,4-10,Catholic Book Publishing Corp.,New,13,1,13,https://www.comcenter.com/product/CATH-96522/?utm_campaign=shopping&utm_medium=cpc&utm_source=shopping&gad_source=4&gad_campaignid=1301575831&gbraid=0AAAAADH6J_3B6RYnKue9McuyanUBaPaAZ&gclid=CjwKCAjwyabTBhBFEiwAM3mNUAvqoSSaQtsMn-vUchUVpM1PXPUx2iGDHX9NGvwjiSLXdEKg2oKPthoC6dQQAvD_BwE,
,43,My First Lift-and-Slide Bible,Catholic,3-5,Magnificat & Ignatius Press (Catholic),New,20,1,20,https://ignatius.com/my-first-lift-and-slide-bible-6flsbh/,
